county,race,education_level,percentage
Orange,Multiracial/Other,BA degree,32.71
Orange,Native American,BA degree,25.06
Orange,White,BA degree,31.14
Orange,All Races,BA degree,26.54
Orange,Asian/Pacific Islander,MA degree or higher,20.53
Orange,Black,MA degree or higher,13.27
Orange,Hispanic/Latino,MA degree or higher,5.25
Orange,Multiracial/Other,MA degree or higher,20.37
Orange,Native American,MA degree or higher,7.78
Orange,White,MA degree or higher,19.86
Orange,All Races,MA degree or higher,15.68
Riverside,Asian/Pacific Islander,Less than HS Diploma,10.63
Riverside,Black,Less than HS Diploma,6.52
Riverside,Hispanic/Latino,Less than HS Diploma,30.81
Riverside,Multiracial/Other,Less than HS Diploma,6.93
Riverside,Native American,Less than HS Diploma,15.22
Riverside,White,Less than HS Diploma,5.37
Riverside,All Races,Less than HS Diploma,16.99
Riverside,Asian/Pacific Islander,HS Diploma,15.46
Riverside,Black,HS Diploma,26.1
Riverside,Hispanic/Latino,HS Diploma,31.51
Riverside,Multiracial/Other,HS Diploma,20.89
Riverside,Native American,HS Diploma,36.42
Riverside,White,HS Diploma,25.2
Riverside,All Races,HS Diploma,27.23
Riverside,Asian/Pacific Islander,Some College,18.87
Riverside,Black,Some College,28.87
Riverside,Hispanic/Latino,Some College,19.41
Riverside,Multiracial/Other,Some College,29.72
Riverside,Native American,Some College,23.73
Riverside,White,Some College,28.3
Riverside,All Races,Some College,23.79
Riverside,Asian/Pacific Islander,AA Degree,9.17
Riverside,Black,AA Degree,11.36
Riverside,Hispanic/Latino,AA Degree,6.38
Riverside,Multiracial/Other,AA Degree,11.71
Riverside,Native American,AA Degree,8.42
Riverside,White,AA Degree,10.12
Riverside,All Races,AA Degree,8.54
Riverside,Asian/Pacific Islander,BA degree,31.83
Riverside,Black,BA degree,17.44
Riverside,Hispanic/Latino,BA degree,8.2
Riverside,Multiracial/Other,BA degree,19.66
Riverside,Native American,BA degree,11.8
Riverside,White,BA degree,18.61
Riverside,All Races,BA degree,14.98
Riverside,Asian/Pacific Islander,MA degree or higher,14.04
Riverside,Black,MA degree or higher,9.72
Riverside,Hispanic/Latino,MA degree or higher,3.68
Riverside,Multiracial/Other,MA degree or higher,11.08
Riverside,Native American,MA degree or higher,4.41
Riverside,White,MA degree or higher,12.4
Riverside,All Races,MA degree or higher,8.49
San Bernardino,Asian/Pacific Islander,Less than HS Diploma,8.81
San Bernardino,Black,Less than HS Diploma,11.37
San Bernardino,Hispanic/Latino,Less than HS Diploma,30.62
San Bernardino,Multiracial/Other,Less than HS Diploma,7.25
San Bernardino,Native American,Less than HS Diploma,13.84
San Bernardino,White,Less than HS Diploma,7.71
San Bernardino,All Races,Less than HS Diploma,19.26
San Bernardino,Asian/Pacific Islander,HS Diploma,14.19
San Bernardino,Black,HS Diploma,25.36
San Bernardino,Hispanic/Latino,HS Diploma,29.66
San Bernardino,Multiracial/Other,HS Diploma,19.9
San Bernardino,Native American,HS Diploma,35.3
San Bernardino,White,HS Diploma,26.53
San Bernardino,All Races,HS Diploma,26.76
San Bernardino,Asian/Pacific Islander,Some College,15.23
San Bernardino,Black,Some College,30.55
San Bernardino,Hispanic/Latino,Some College,20.94
San Bernardino,Multiracial/Other,Some College,31.57
San Bernardino,Native American,Some College,32.17
San Bernardino,White,Some College,27.8
San Bernardino,All Races,Some College,23.71
San Bernardino,Asian/Pacific Islander,AA Degree,10.31
San Bernardino,Black,AA Degree,9.7
San Bernardino,Hispanic/Latino,AA Degree,6.81
San Bernardino,Multiracial/Other,AA Degree,11.64
San Bernardino,Native American,AA Degree,3.69
San Bernardino,White,AA Degree,10.18
San Bernardino,All Races,AA Degree,8.53
San Bernardino,Asian/Pacific Islander,BA degree,33.87
San Bernardino,Black,BA degree,14.83
San Bernardino,Hispanic/Latino,BA degree,8.65
San Bernardino,Multiracial/Other,BA degree,17.75
San Bernardino,Native American,BA degree,10.84
San Bernardino,White,BA degree,16.95
San Bernardino,All Races,BA degree,14.2
San Bernardino,Asian/Pacific Islander,MA degree or higher,17.59
San Bernardino,Black,MA degree or higher,8.19
San Bernardino,Hispanic/Latino,MA degree or higher,3.31
San Bernardino,Multiracial/Other,MA degree or higher,11.9
San Bernardino,Native American,MA degree or higher,4.17
San Bernardino,White,MA degree or higher,10.84
San Bernardino,All Races,MA degree or higher,7.55
Ventura,Asian/Pacific Islander,Less than HS Diploma,5.92
Ventura,Black,Less than HS Diploma,5.04
Ventura,Hispanic/Latino,Less than HS Diploma,33.19
Ventura,Multiracial/Other,Less than HS Diploma,3.25
Ventura,Native American,Less than HS Diploma,16.93
Ventura,White,Less than HS Diploma,3.31
Ventura,All Races,Less than HS Diploma,14.65
Ventura,Asian/Pacific Islander,HS Diploma,11.75
Ventura,Black,HS Diploma,17.24
Ventura,Hispanic/Latino,HS Diploma,26.18
Ventura,Multiracial/Other,HS Diploma,16.88
Ventura,Native American,HS Diploma,22.52
Ventura,White,HS Diploma,16.48
Ventura,All Races,HS Diploma,19.72
Ventura,Asian/Pacific Islander,Some College,13.41
Ventura,Black,Some College,24.62
Ventura,Hispanic/Latino,Some College,19.05
Ventura,Multiracial/Other,Some College,24.09
Ventura,Native American,Some College,37.94
Ventura,White,Some College,23.87
Ventura,All Races,Some College,21.28
Ventura,Asian/Pacific Islander,AA Degree,9.24
Ventura,Black,AA Degree,13.93
Ventura,Hispanic/Latino,AA Degree,7.72
Ventura,Multiracial/Other,AA Degree,14.11
Ventura,Native American,AA Degree,9.52
Ventura,White,AA Degree,12.37
Ventura,All Races,AA Degree,10.45
Ventura,Asian/Pacific Islander,BA degree,35.92
Ventura,Black,BA degree,23.08
Ventura,Hispanic/Latino,BA degree,9.68
Ventura,Multiracial/Other,BA degree,24.74
Ventura,Native American,BA degree,2.57
Ventura,White,BA degree,27.8
Ventura,All Races,BA degree,21.54
Ventura,Asian/Pacific Islander,MA degree or higher,23.75
Ventura,Black,MA degree or higher,16.08
Ventura,Hispanic/Latino,MA degree or higher,4.19
Ventura,Multiracial/Other,MA degree or higher,16.93
Ventura,Native American,MA degree or higher,10.51
Ventura,White,MA degree or higher,16.18
Ventura,All Races,MA degree or higher,12.36
SCAG,All Races,Less than HS Diploma,18.45
SCAG,Asian/Pacific Islander,Less than HS Diploma,10.97
SCAG,Black,Less than HS Diploma,9.33
SCAG,Hispanic/Latino,Less than HS Diploma,34.7
SCAG,Multiracial/Other,Less than HS Diploma,5.9
SCAG,Native American,Less than HS Diploma,15.62
SCAG,White,Less than HS Diploma,4.67
SCAG,All Races,HS Diploma,21.49
SCAG,Asian/Pacific Islander,HS Diploma,14.35
SCAG,Black,HS Diploma,23.6
SCAG,Hispanic/Latino,HS Diploma,26.8
SCAG,Multiracial/Other,HS Diploma,15.4
SCAG,Native American,HS Diploma,27.57
SCAG,White,HS Diploma,18.18
SCAG,All Races,Some College,19.99
SCAG,Asian/Pacific Islander,Some College,13.47
SCAG,Black,Some College,28.85
SCAG,Hispanic/Latino,Some College,18.67
SCAG,Multiracial/Other,Some College,23.55
SCAG,Native American,Some College,27.39
SCAG,White,Some College,22.47
SCAG,All Races,AA Degree,7.59
SCAG,Asian/Pacific Islander,AA Degree,7.65
SCAG,Black,AA Degree,9.91
SCAG,Hispanic/Latino,AA Degree,5.97
SCAG,Multiracial/Other,AA Degree,9.35
SCAG,Native American,AA Degree,9.9
SCAG,White,AA Degree,8.94
SCAG,All Races,BA degree,20.86
SCAG,Asian/Pacific Islander,BA degree,35.78
SCAG,Black,BA degree,18.07
SCAG,Hispanic/Latino,BA degree,9.81
SCAG,Multiracial/Other,BA degree,28.89
SCAG,Native American,BA degree,13.43
SCAG,White,BA degree,27.71
SCAG,All Races,MA degree or higher,11.63
SCAG,Asian/Pacific Islander,MA degree or higher,17.78
SCAG,Black,MA degree or higher,10.24
SCAG,Hispanic/Latino,MA degree or higher,4.06
SCAG,Multiracial/Other,MA degree or higher,16.91
SCAG,Native American,MA degree or higher,6.09
SCAG,White,MA degree or higher,18.02
