survey,year,var_code,var_label,data_type,level,val_min,val_max,val_label,recode,val_length,val_na
acs5,2021,CITWP,Year of naturalization write-in,num,person,1996,1996,1996,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1997,1997,1997,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1998,1998,1998,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,1999,1999,1999,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2000,2000,2000,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2001,2001,2001,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2002,2002,2002,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2003,2003,2003,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2004,2004,2004,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2005,2005,2005,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2006,2006,2006,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2007,2007,2007,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2008,2008,2008,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2009,2009,2009,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2010,2010,2010,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2011,2011,2011,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2012,2012,2012,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2013,2013,2013,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2014,2014,2014,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2015,2015,2015,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2016,2016,2016,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2017,2017,2017,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2018,2018,2018,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2019,2019,2019,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2020,2020,2020,FALSE,NA,NA
acs5,2021,CITWP,Year of naturalization write-in,num,person,2021,2021,2021,FALSE,NA,NA
acs5,2021,COW,Class of worker,chr,person,b,b,Not in universe (less than 16 years old/NILF who last worked more than 5 years ago or never worked),TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,1,1,"Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions",TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,2,2,"Employee of a private not-for-profit, tax-exempt, or charitable organization",TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,3,3,"Local government employee (city, county, etc.)",TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,4,4,State government employee,TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,5,5,Federal government employee,TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,6,6,"Self-employed in own not incorporated business, professional practice, or farm",TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,7,7,"Self-employed in own incorporated business, professional practice or farm",TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,8,8,Working without pay in family business or farm,TRUE,1,0
acs5,2021,COW,Class of worker,chr,person,9,9,Unemployed and last worked 5 years ago or earlier or never worked,TRUE,1,0
acs5,2021,DDRS,Self-care difficulty,chr,person,b,b,N/A (Less than 5 years old),TRUE,1,0
acs5,2021,DDRS,Self-care difficulty,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,DDRS,Self-care difficulty,chr,person,2,2,No,TRUE,1,0
acs5,2021,DEAR,Hearing difficulty,chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,DEAR,Hearing difficulty,chr,person,2,2,No,TRUE,1,NA
acs5,2021,DEYE,Vision difficulty,chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,DEYE,Vision difficulty,chr,person,2,2,No,TRUE,1,NA
acs5,2021,DOUT,Independent living difficulty,chr,person,b,b,N/A (Less than 15 years old),TRUE,1,0
acs5,2021,DOUT,Independent living difficulty,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,DOUT,Independent living difficulty,chr,person,2,2,No,TRUE,1,0
acs5,2021,DPHY,Ambulatory difficulty,chr,person,b,b,N/A (Less than 5 years old),TRUE,1,0
acs5,2021,DPHY,Ambulatory difficulty,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,DPHY,Ambulatory difficulty,chr,person,2,2,No,TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,b,b,N/A (No service-connected disability/never served in military),TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,1,1,0 percent,TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,2,2,10 or 20 percent,TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,3,3,30 or 40 percent,TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,4,4,50 or 60 percent,TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,5,5,"70, 80, 90, or 100 percent",TRUE,1,0
acs5,2021,DRAT,Veteran service connected disability rating (percentage),chr,person,6,6,Not reported,TRUE,1,0
acs5,2021,DRATX,Veteran service connected disability rating (checkbox),chr,person,b,b,N/A (Less than 17 years old/never served in military),TRUE,1,0
acs5,2021,DRATX,Veteran service connected disability rating (checkbox),chr,person,1,1,Yes,TRUE,1,0
acs5,2021,DRATX,Veteran service connected disability rating (checkbox),chr,person,2,2,No,TRUE,1,0
acs5,2021,DREM,Cognitive difficulty,chr,person,b,b,N/A (Less than 5 years old),TRUE,1,0
acs5,2021,DREM,Cognitive difficulty,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,DREM,Cognitive difficulty,chr,person,2,2,No,TRUE,1,0
acs5,2021,ENG,Ability to speak English,chr,person,b,b,N/A (less than 5 years old/speaks only English),TRUE,1,0
acs5,2021,ENG,Ability to speak English,chr,person,1,1,Very well,TRUE,1,0
acs5,2021,ENG,Ability to speak English,chr,person,2,2,Well,TRUE,1,0
acs5,2021,ENG,Ability to speak English,chr,person,3,3,Not well,TRUE,1,0
acs5,2021,ENG,Ability to speak English,chr,person,4,4,Not at all,TRUE,1,0
acs5,2021,FER,Gave birth to child within the past 12 months,chr,person,b,b,N/A (less than 15 years/greater than 50 years/male),TRUE,1,0
acs5,2021,FER,Gave birth to child within the past 12 months,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,FER,Gave birth to child within the past 12 months,chr,person,2,2,No,TRUE,1,0
acs5,2021,GCL,Grandparents living with grandchildren,chr,person,b,b,N/A (less than 30 years/institutional GQ),TRUE,1,0
acs5,2021,GCL,Grandparents living with grandchildren,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,GCL,Grandparents living with grandchildren,chr,person,2,2,No,TRUE,1,0
acs5,2021,GCM,Length of time responsible for grandchildren,chr,person,b,b,N/A (less than 30 years/grandparent not responsible for grandchild/institutional GQ),TRUE,1,0
acs5,2021,GCM,Length of time responsible for grandchildren,chr,person,1,1,Less than 6 months,TRUE,1,0
acs5,2021,GCM,Length of time responsible for grandchildren,chr,person,2,2,6 to 11 months,TRUE,1,0
acs5,2021,GCM,Length of time responsible for grandchildren,chr,person,3,3,1 or 2 years,TRUE,1,0
acs5,2021,GCM,Length of time responsible for grandchildren,chr,person,4,4,3 or 4 years,TRUE,1,0
acs5,2021,GCM,Length of time responsible for grandchildren,chr,person,5,5,5 or more years,TRUE,1,0
acs5,2021,GCR,Grandparents responsible for grandchildren,chr,person,b,b,N/A (less than 30 years/institutional GQ/grandparent not living with grandchild),TRUE,1,0
acs5,2021,GCR,Grandparents responsible for grandchildren,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,GCR,Grandparents responsible for grandchildren,chr,person,2,2,No,TRUE,1,0
acs5,2021,HINS1,Insurance through a current or former employer or union,chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS1,Insurance through a current or former employer or union,chr,person,2,2,No,TRUE,1,NA
acs5,2021,HINS2,Insurance purchased directly from an insurance company,chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS2,Insurance purchased directly from an insurance company,chr,person,2,2,No,TRUE,1,NA
acs5,2021,HINS3,"Medicare, for people 65 and older, or people with certain disabilities",chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS3,"Medicare, for people 65 and older, or people with certain disabilities",chr,person,2,2,No,TRUE,1,NA
acs5,2021,HINS4,"Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or a disability",chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS4,"Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or a disability",chr,person,2,2,No,TRUE,1,NA
acs5,2021,HINS5,TRICARE or other military health care,chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS5,TRICARE or other military health care,chr,person,2,2,No,TRUE,1,NA
acs5,2021,HINS6,VA (Health Insurance through VA Health Care),chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS6,VA (Health Insurance through VA Health Care),chr,person,2,2,No,TRUE,1,NA
acs5,2021,HINS7,Indian Health Service,chr,person,1,1,Yes,TRUE,1,NA
acs5,2021,HINS7,Indian Health Service,chr,person,2,2,No,TRUE,1,NA
acs5,2021,INTP,"Interest, dividends, and net rental income past 12 months (signed, use ADJINC to adjust to constant dollars)",num,person,bbbbbb,bbbbbb,N/A (less than 15 years old),FALSE,NA,NA
acs5,2021,INTP,"Interest, dividends, and net rental income past 12 months (signed, use ADJINC to adjust to constant dollars)",num,person,0,0,None,FALSE,NA,NA
acs5,2021,INTP,"Interest, dividends, and net rental income past 12 months (signed, use ADJINC to adjust to constant dollars)",num,person,-10000,-4,Loss $4 to $10000 (Rounded and bottom-coded),FALSE,NA,NA
acs5,2021,INTP,"Interest, dividends, and net rental income past 12 months (signed, use ADJINC to adjust to constant dollars)",num,person,4,999999,$4 to $999999 (Rounded and top-coded),FALSE,NA,NA
acs5,2021,JWMNP,Travel time to work,num,person,bbb,bbb,N/A (not a worker or worker who worked from home),FALSE,NA,NA
acs5,2021,JWMNP,Travel time to work,num,person,1,200,1 to 200 minutes to get to work (Top-coded),FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,bb,bb,"N/A (not a worker or worker whose means of transportation to work was not car, truck, or van)",FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,1,1,Drove alone,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,2,2,In 2-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,3,3,In 3-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,4,4,In 4-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,5,5,In 5-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,6,6,In 6-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,7,7,In 7-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,8,8,In 8-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,9,9,In 9-person carpool,FALSE,NA,NA
acs5,2021,JWRIP,Vehicle occupancy,num,person,10,10,In 10-person or more carpool (Top-coded),FALSE,NA,NA
acs5,2021,JWTRNS,Means of transportation to work,chr,person,bb,bb,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)",TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,01,01,"Car, truck, or van",TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,02,02,Bus,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,03,03,Subway or elevated rail,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,04,04,Long-distance train or commuter rail,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,05,05,"Light rail, streetcar, or trolley",TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,06,06,Ferryboat,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,07,07,Taxicab,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,08,08,Motorcycle,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,09,09,Bicycle,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,10,10,Walked,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,11,11,Worked from home,TRUE,2,0
acs5,2021,JWTRNS,Means of transportation to work,chr,person,12,12,Other method,TRUE,2,0
acs5,2021,LANX,Language other than English spoken at home,chr,person,b,b,N/A (less than 5 years old),TRUE,1,0
acs5,2021,LANX,Language other than English spoken at home,chr,person,1,1,"Yes, speaks another language",TRUE,1,0
acs5,2021,LANX,Language other than English spoken at home,chr,person,2,2,"No, speaks only English",TRUE,1,0
acs5,2021,MAR,Marital status,chr,person,1,1,Married,TRUE,1,NA
acs5,2021,MAR,Marital status,chr,person,2,2,Widowed,TRUE,1,NA
acs5,2021,MAR,Marital status,chr,person,3,3,Divorced,TRUE,1,NA
acs5,2021,MAR,Marital status,chr,person,4,4,Separated,TRUE,1,NA
acs5,2021,MAR,Marital status,chr,person,5,5,Never married or under 15 years old,TRUE,1,NA
acs5,2021,MARHD,Divorced in the past 12 months,chr,person,b,b,N/A (age less than 15 years; never married),TRUE,1,0
acs5,2021,MARHD,Divorced in the past 12 months,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,MARHD,Divorced in the past 12 months,chr,person,2,2,No,TRUE,1,0
acs5,2021,MARHD,Divorced in the past 12 months,chr,person,8,8,Suppressed for data year 2018 for select PUMAs,TRUE,1,0
acs5,2021,MARHM,Married in the past 12 months,chr,person,b,b,N/A (age less than 15 years; never married),TRUE,1,0
acs5,2021,MARHM,Married in the past 12 months,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,MARHM,Married in the past 12 months,chr,person,2,2,No,TRUE,1,0
acs5,2021,MARHT,Number of times married,chr,person,b,b,N/A (age less than 15 years; never married),TRUE,1,0
acs5,2021,MARHT,Number of times married,chr,person,1,1,One time,TRUE,1,0
acs5,2021,MARHT,Number of times married,chr,person,2,2,Two times,TRUE,1,0
acs5,2021,MARHT,Number of times married,chr,person,3,3,Three or more times,TRUE,1,0
acs5,2021,MARHW,Widowed in the past 12 months,chr,person,b,b,N/A (age less than 15 years; never married),TRUE,1,0
acs5,2021,MARHW,Widowed in the past 12 months,chr,person,1,1,Yes,TRUE,1,0
acs5,2021,MARHW,Widowed in the past 12 months,chr,person,2,2,No,TRUE,1,0
acs5,2021,MARHYP,Year last married,num,person,bbbb,bbbb,N/A (age less than 15 years; never married),FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1943,1943,1943 or earlier (Bottom-coded),FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1944,1944,1944,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1945,1945,1945,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1946,1946,1946,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1947,1947,1947,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1948,1948,1948,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1949,1949,1949,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1950,1950,1950,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1951,1951,1951,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1952,1952,1952,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1953,1953,1953,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1954,1954,1954,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1955,1955,1955,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1956,1956,1956,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1957,1957,1957,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1958,1958,1958,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1959,1959,1959,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1960,1960,1960,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1961,1961,1961,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1962,1962,1962,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1963,1963,1963,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1964,1964,1964,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1965,1965,1965,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1966,1966,1966,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1967,1967,1967,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1968,1968,1968,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1969,1969,1969,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1970,1970,1970,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1971,1971,1971,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1972,1972,1972,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1973,1973,1973,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1974,1974,1974,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1975,1975,1975,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1976,1976,1976,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1977,1977,1977,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1978,1978,1978,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1979,1979,1979,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1980,1980,1980,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1981,1981,1981,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1982,1982,1982,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1983,1983,1983,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1984,1984,1984,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1985,1985,1985,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1986,1986,1986,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1987,1987,1987,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1988,1988,1988,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1989,1989,1989,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1990,1990,1990,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1991,1991,1991,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1992,1992,1992,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1993,1993,1993,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1994,1994,1994,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1995,1995,1995,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1996,1996,1996,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1997,1997,1997,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1998,1998,1998,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,1999,1999,1999,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2000,2000,2000,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2001,2001,2001,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2002,2002,2002,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2003,2003,2003,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2004,2004,2004,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2005,2005,2005,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2006,2006,2006,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2007,2007,2007,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2008,2008,2008,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2009,2009,2009,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2010,2010,2010,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2011,2011,2011,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2012,2012,2012,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2013,2013,2013,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2014,2014,2014,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2015,2015,2015,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2016,2016,2016,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2017,2017,2017,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2018,2018,2018,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2019,2019,2019,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2020,2020,2020,FALSE,NA,NA
acs5,2021,MARHYP,Year last married,num,person,2021,2021,2021,FALSE,NA,NA
acs5,2021,MIG,Mobility status (lived here 1 year ago),chr,person,b,b,N/A (less than 1 year old),TRUE,1,0
acs5,2021,MIG,Mobility status (lived here 1 year ago),chr,person,1,1,"Yes, same house (nonmovers)",TRUE,1,0
